Año,Departamento,Municipio,Producto,Área Cosechada,Área Sembrada,Producción,Rendimiento,Ciclo
2022,ANTIOQUIA,SOPETRAN,AGUACATE HASS,29.0,29.0,130.5,4.5,PERMANENTE
2023,ANTIOQUIA,TAMESIS,AGUACATE HASS,375.1,760.4,2250.6,6.0,PERMANENTE
2022,ANTIOQUIA,TAMESIS,AGUACATE HASS,287.0,546.4,1722.0,6.0,PERMANENTE
2021,ANTIOQUIA,TAMESIS,AGUACATE HASS,252.0,546.4,1512.0,6.0,PERMANENTE
2020,ANTIOQUIA,TAMESIS,AGUACATE HASS,76.0,287.0,456.0,6.0,PERMANENTE
2024,ANTIOQUIA,TAMESIS,AGUACATE HASS,538.2,1014.2,3229.2,6.0,PERMANENTE
2024,ANTIOQUIA,TARAZA,AGUACATE HASS,0.0,2.0,0.0,0.0,PERMANENTE
2023,ANTIOQUIA,TARAZA,AGUACATE HASS,0.0,2.0,0.0,0.0,PERMANENTE
2023,ANTIOQUIA,TITIRIBI,AGUACATE HASS,12.9,30.4,154.8,12.0,PERMANENTE
2024,ANTIOQUIA,TITIRIBI,AGUACATE HASS,30.4,42.4,36.48,1.2,PERMANENTE
2022,ANTIOQUIA,TITIRIBI,AGUACATE HASS,14.9,15.0,149.0,10.0,PERMANENTE
2021,ANTIOQUIA,TITIRIBI,AGUACATE HASS,0.0,15.0,0.0,0.0,PERMANENTE
2020,ANTIOQUIA,TITIRIBI,AGUACATE HASS,0.0,9.0,0.0,0.0,PERMANENTE
2024,ANTIOQUIA,TOLEDO,AGUACATE HASS,17.0,17.0,17.0,1.0,PERMANENTE
2022,ANTIOQUIA,TOLEDO,AGUACATE HASS,0.0,30.0,0.0,0.0,PERMANENTE
2021,ANTIOQUIA,TOLEDO,AGUACATE HASS,0.0,24.0,0.0,0.0,PERMANENTE
2024,ANTIOQUIA,URRAO,AGUACATE HASS,4849.0,5220.0,66431.3,13.7,PERMANENTE
2023,ANTIOQUIA,URRAO,AGUACATE HASS,4402.0,5085.0,60307.4,13.7,PERMANENTE
2020,ANTIOQUIA,URRAO,AGUACATE HASS,3700.0,4332.0,51060.0,13.8,PERMANENTE
2021,ANTIOQUIA,URRAO,AGUACATE HASS,4196.0,4626.0,57904.8,13.8,PERMANENTE
2022,ANTIOQUIA,URRAO,AGUACATE HASS,4244.4,5067.0,58148.3,13.7,PERMANENTE
2024,ANTIOQUIA,VALPARAISO,AGUACATE HASS,174.9,243.0,2098.8,12.0,PERMANENTE
2023,ANTIOQUIA,VALPARAISO,AGUACATE HASS,73.0,195.0,876.0,12.0,PERMANENTE
2022,ANTIOQUIA,VALPARAISO,AGUACATE HASS,0.0,190.0,0.0,0.0,PERMANENTE
2021,ANTIOQUIA,VALPARAISO,AGUACATE HASS,0.0,93.0,0.0,0.0,PERMANENTE
