Año,Departamento,Municipio,Producto,Área Cosechada,Área Sembrada,Producción,Rendimiento,Ciclo
2022,ANTIOQUIA,SANTUARIO,AGUACATE HASS,"8,64","56,64","51,84","6,00",PERMANENTE
2021,ANTIOQUIA,SANTUARIO,AGUACATE HASS,"54,64","54,64","327,84","6,00",PERMANENTE
2020,ANTIOQUIA,SANTUARIO,AGUACATE HASS,"50,64","54,64","303,84","6,00",PERMANENTE
2024,ANTIOQUIA,SANTUARIO,AGUACATE HASS,"36,64","36,64","366,40","10,00",PERMANENTE
2023,ANTIOQUIA,SONSON,AGUACATE HASS,"3.150,00","4.650,00","44.100,00","14,00",PERMANENTE
2022,ANTIOQUIA,SONSON,AGUACATE HASS,"3.200,00","4.450,00","44.800,00","14,00",PERMANENTE
2021,ANTIOQUIA,SONSON,AGUACATE HASS,"3.000,00","4.200,00","42.000,00","14,00",PERMANENTE
2020,ANTIOQUIA,SONSON,AGUACATE HASS,"2.800,00","3.800,00","39.200,00","14,00",PERMANENTE
2024,ANTIOQUIA,SONSON,AGUACATE HASS,"3.550,00","4.750,00","49.700,00","14,00",PERMANENTE
2021,ANTIOQUIA,SOPETRAN,AGUACATE HASS,"24,00","29,00","108,00","4,50",PERMANENTE
2020,ANTIOQUIA,SOPETRAN,AGUACATE HASS,"22,00","25,00","99,00","4,50",PERMANENTE
2024,ANTIOQUIA,SOPETRAN,AGUACATE HASS,"29,00","54,00","130,50","4,50",PERMANENTE
2023,ANTIOQUIA,SOPETRAN,AGUACATE HASS,"29,00","54,00","130,50","4,50",PERMANENTE
2022,ANTIOQUIA,SOPETRAN,AGUACATE HASS,"29,00","29,00","130,50","4,50",PERMANENTE
2023,ANTIOQUIA,TAMESIS,AGUACATE HASS,"375,10","760,40","2.250,60","6,00",PERMANENTE
2022,ANTIOQUIA,TAMESIS,AGUACATE HASS,"287,00","546,40","1.722,00","6,00",PERMANENTE
2021,ANTIOQUIA,TAMESIS,AGUACATE HASS,"252,00","546,40","1.512,00","6,00",PERMANENTE
2020,ANTIOQUIA,TAMESIS,AGUACATE HASS,"76,00","287,00","456,00","6,00",PERMANENTE
2024,ANTIOQUIA,TAMESIS,AGUACATE HASS,"538,20","1.014,20","3.229,20","6,00",PERMANENTE
2024,ANTIOQUIA,TARAZA,AGUACATE HASS,"0,00","2,00","0,00","0,00",PERMANENTE
2023,ANTIOQUIA,TARAZA,AGUACATE HASS,"0,00","2,00","0,00","0,00",PERMANENTE
2023,ANTIOQUIA,TITIRIBI,AGUACATE HASS,"12,90","30,40","154,80","12,00",PERMANENTE
2024,ANTIOQUIA,TITIRIBI,AGUACATE HASS,"30,40","42,40","36,48","1,20",PERMANENTE
2022,ANTIOQUIA,TITIRIBI,AGUACATE HASS,"14,90","15,00","149,00","10,00",PERMANENTE
2021,ANTIOQUIA,TITIRIBI,AGUACATE HASS,"0,00","15,00","0,00","0,00",PERMANENTE
2020,ANTIOQUIA,TITIRIBI,AGUACATE HASS,"0,00","9,00","0,00","0,00",PERMANENTE
2024,ANTIOQUIA,TOLEDO,AGUACATE HASS,"17,00","17,00","17,00","1,00",PERMANENTE
2022,ANTIOQUIA,TOLEDO,AGUACATE HASS,"0,00","30,00","0,00","0,00",PERMANENTE
2021,ANTIOQUIA,TOLEDO,AGUACATE HASS,"0,00","24,00","0,00","0,00",PERMANENTE
2024,ANTIOQUIA,URRAO,AGUACATE HASS,"4.849,00","5.220,00","66.431,30","13,70",PERMANENTE
2023,ANTIOQUIA,URRAO,AGUACATE HASS,"4.402,00","5.085,00","60.307,40","13,70",PERMANENTE
2020,ANTIOQUIA,URRAO,AGUACATE HASS,"3.700,00","4.332,00","51.060,00","13,80",PERMANENTE
